           1  -7739.88818       11.9541788       4.32167295E-03   29.4160862       3634.02490       1.62042773       109.264214       3.05509186       142.151260    
           2  -7733.49365       11.9555550       2.78041443E-06   29.4767494       3666.53857       1.62269306       109.238831       3.05817938       142.180954    
           3  -7727.75391       11.9752331       1.81149482E-03   29.4921322       3661.05908       1.62508988       109.200119       3.06323242       142.321762    
           4  -7719.63232       11.9738245       7.23365881E-03   29.4298630       3653.57007       1.62586713       109.249847       3.06232047       141.822662    
           5  -7712.56934       11.9794302       8.21165368E-03   29.4692898       3664.72656       1.62753797       109.263916       3.06382513       141.660065    
           6  -7705.54834       11.9907351       1.90322369E-03   29.5059242       3676.14990       1.62910068       109.260605       3.06657648       141.695480    
           7  -7703.46387       12.0381374       6.00666681E-04   29.5180359       3702.49390       1.63358760       109.077072       3.08101320       142.942291    
           8  -7696.68311       12.0453053       2.95187533E-03   29.5479755       3714.06030       1.63521576       109.077164       3.08365011       142.851456    
           9  -7689.85107       12.0589523       1.24481111E-03   29.6002674       3723.17041       1.63652503       109.091133       3.08629775       143.049576    
          10  -7682.95947       12.0571709       1.09263631E-02   29.6065655       3731.85864       1.63855243       109.072578       3.08871007       142.650665    
          11  -7676.32861       12.0688515       5.85493259E-03   29.6343784       3742.11182       1.63990629       109.078529       3.09139895       142.643478    
          12  -7669.33984       12.0817327       8.55693687E-03   29.6840553       3770.47632       1.64140785       109.086060       3.09445000       142.898056    
          13  -7662.60840       12.0958052       1.21283606E-02   29.6789074       3761.84668       1.64276731       109.098640       3.09634161       142.813736    
          14  -7655.57275       12.0971584       2.12278422E-02   29.7351742       3789.44019       1.64485109       109.080162       3.09986115       142.750946    
          15  -7648.89600       12.1005945       5.01614995E-02   29.6095371       3787.18066       1.64679754       109.082977       3.09976006       141.904938    
          16  -7641.66406       12.1048441       3.77436578E-02   29.6976471       3790.31421       1.64837480       109.080467       3.10278130       142.035751    
