           0	      21.279
           0	      29.535
           0	      31.047
   0.0022624	      29.767
   0.0067873	      22.442
      0.0181	      24.186
      0.0181	      25.116
      0.0181	      25.349
      0.0181	      25.465
    0.031674	      26.163
    0.031674	      27.093
    0.031674	      28.023
    0.033937	      26.279
    0.088235	      31.395
    0.088235	      33.023
    0.088235	      34.419
    0.090498	      32.209
      0.1629	      36.047
     0.16516	      34.419
     0.16516	      34.535
     0.16742	      33.372
     0.19683	      36.047
      0.1991	      36.512
     0.20136	      35.698
     0.39819	      38.023
     0.39819	      39.419
     0.40045	      38.023
     0.40045	      39.651
     0.60181	      24.884
     0.60181	       26.86
     0.60181	      27.791
     0.60181	      32.558
     0.79864	      23.256
      0.8009	      26.744
     0.80317	      25.349
     0.90045	       18.14
     0.90045	      5.4651
     0.90271	      21.744
     0.99774	      1.5116
           1	           0
           1	      10.349
      1.0	       2.907
