0 -7596.0151367188 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 24_1 .4811024051115075905630601492981463149921
.0654296876 -7595.9497070312 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 24_2 .0883459232624448296223899718888376488386
.0712890626 -7595.9438476562 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 34 24_3 .0759051945286075221742394939297792780909
.0874023438 -7595.9277343750 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 37 24_4 .0500040526613549729520480240334987754009
.1176757813 -7595.8974609375 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 24_5 .0228267607700003828345619798143128932326
.1269531250 -7595.8881835938 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 26 24_6 .0179505948850053723166685665188517388949
.1342773438 -7595.8808593750 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 24_7 .0148485851921484627994277578277158150915
.1420898438 -7595.8730468750 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 30 24_8 .0121282568806466878644462136980252836266
.1464843750 -7595.8686523438 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 34 24_9 .0108233605345593929049459405990415587068
.1474609376 -7595.8676757812 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 32 24_10 .0105530085069694453853317006261525626080
.1479492188 -7595.8671875000 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 40 24_11 .0104203755399514680784496345853050314596
.1503906250 -7595.8647460938 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 24_12 .0097818000534202480930337618132307858437
.1523437500 -7595.8627929688 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 40 24_13 .0092992325677377179010867620945989651447
.1542968750 -7595.8608398438 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 30 24_14 .0088404716797126949806725717193204101283
.1562500000 -7595.8588867188 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 37 24_15 .0084043429337325621052213042518154791504
.1572265626 -7595.8579101562 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 34 24_16 .0081944144974173486559183291481564999239
.1586914063 -7595.8564453125 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 32 24_17 .0078893127824434677980347772545373160500
.1621093750 -7595.8530273438 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 32 24_18 .0072208570776381108039185587491472241878
.1635742188 -7595.8515625000 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 31 24_19 .0069520036987632982770504674113620881040
.1640625000 -7595.8510742188 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 38 24_20 .0068646291006401207684334388022357832119
.1650390626 -7595.8500976562 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 24 42 24_21 .0066931605082297354632136218451556167271
.1665039063 -7595.8486328125 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 29 24_22 .0064439548144855447448649973848633217677
.1674804688 -7595.8476562500 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 38 24_23 .0062829940788541721794728884772080751801
.1684570313 -7595.8466796875 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 29 24_24 .0061260539112064162111960914716530603683
.1718750000 -7595.8432617188 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 37 24_25 .0056069978415822122624721876065498986159
.1743164063 -7595.8408203125 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 46 24_26 .0052633929971110234130638204912449784666
.1752929688 -7595.8398437500 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 28 24_27 .0051319210000033525697453848391632501871
.1782226563 -7595.8369140625 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 48 24_28 .0047568828309763299282337077708095043108
.1811523438 -7595.8339843750 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 28 24_29 .0044092522600450398046436289349408858416
